npa,country,region,state,timezone,status
403,CA,General Purpose Code | Overlay 368/403/587/825,ALBERTA,M,active
404,US,General Purpose Code | Overlay 404/470/678/943,GA,E,active
405,US,General Purpose Code | Overlay 405/572,OK,C,active
406,US,General Purpose Code,MT,M,active
407,US,General Purpose Code | Overlay 321/407/689,FL,E,active
408,US,General Purpose Code | Overlay 408/669,CA,P,active
409,US,General Purpose Code,TX,C,active
410,US,General Purpose Code | Overlay 410/443/667,MD,E,active
411,001,Easily Recognizable Code,,,unavailable
412,US,General Purpose Code | Overlay 412/878,PA,E,active
413,US,General Purpose Code,MA,E,active
414,US,General Purpose Code,WI,C,active
415,US,General Purpose Code | Overlay 415/628,CA,P,active
416,CA,General Purpose Code | Overlay 416/437/647,ONTARIO,E,active
417,US,General Purpose Code,MO,C,active
418,CA,General Purpose Code | Overlay 367/418/581,QUEBEC,E,active
419,US,General Purpose Code | Overlay 419/567,OH,E,active
420,001,General Purpose Code,,,reserved
421,001,General Purpose Code,,,reserved
422,001,Easily Recognizable Code,,,available
423,US,General Purpose Code | Overlay 423/729,TN,EC,active
424,US,General Purpose Code | Overlay 310/424,CA,P,active
425,US,General Purpose Code,WA,P,active
426,001,General Purpose Code,,,reserved
427,001,General Purpose Code,,,available
428,CA,New Brunswick CA | General Purpose Code | Overlay 428/506,NEW BRUNSWICK,A,active
429,001,General Purpose Code,,,reserved
430,US,General Purpose Code | Overlay 430/903,TX,C,active
431,CA,General Purpose Code | Overlay 204/431/584,MANITOBA,C,active
432,US,General Purpose Code,TX,C,active
433,001,Easily Recognizable Code,,,available
434,US,General Purpose Code,VA,E,active
435,US,General Purpose Code,UT,M,active
436,US,General Purpose Code | Overlay 436/440,OH,E,active
437,CA,General Purpose Code | Overlay 416/437/647,ONTARIO,E,active
438,CA,General Purpose Code | Overlay 263/438/514,QUEBEC,E,active
439,001,General Purpose Code,,,available
440,US,General Purpose Code | Overlay 440/436,OH,E,active
441,BM,General Purpose Code,BERMUDA,A,active
442,US,General Purpose Code | Overlay 442/760,CA,P,active
443,US,General Purpose Code | Overlay 410/443/667,MD,E,active
444,001,Easily Recognizable Code,,,available
445,US,General Purpose Code | Overlay 215/267/445,PA,E,active
446,001,General Purpose Code,,,available
447,US,General Purpose Code | Overlay 217/447,IL,C,active
448,US,Florida | General Purpose Code | Overlay 448/850,FL,EC,active
449,001,General Purpose Code,,,reserved
450,CA,General Purpose Code | Overlay 354/450/579,QUEBEC,E,active
451,001,General Purpose Code,,,reserved
452,001,General Purpose Code,,,available
453,001,General Purpose Code,,,reserved
454,001,General Purpose Code,,,available
455,001,Easily Recognizable Code,,,available
456,001,General Purpose Code,,,available
457,US,General Purpose Code | Overlay 318/457,LA,C,active
458,US,General Purpose Code | Overlay 458/541,OR,MP,active
459,001,General Purpose Code,,,reserved
460,CA,General Purpose Code,,,reserved
461,001,General Purpose Code,,,available
462,001,General Purpose Code,,,reserved
463,US,General Purpose Code | Overlay 317/463,IN,E,active
464,US,General Purpose Code | Overlay 464/708,IL,C,active
465,US,General Purpose Code | Overlay 347/465/718/917/929,NY,E,active
466,001,Easily Recognizable Code,,,available
467,001,General Purpose Code,,,available
468,CA,western Quebec | General Purpose Code | Overlay 468/819/873,QUEBEC,E,active
469,US,General Purpose Code | Overlay 214/469/945/972,TX,C,active
470,US,General Purpose Code | Overlay 404/470/678/770/943,GA,E,active
471,US,General Purpose Code | Overlay 471/662,MS,C,active
472,US,General Purpose Code | Overlay 472/910,NC,E,active
473,GD,General Purpose Code,GRENADA,A,active
474,CA,Saskatchewan Canada | General Purpose Code | Overlay 306/474/639,SASKATCHEWAN,C,active
475,US,General Purpose Code | Overlay 203/475,CT,E,active
476,001,General Purpose Code,,,reserved
477,001,Easily Recognizable Code,,,available
478,US,General Purpose Code,GA,E,active
479,US,General Purpose Code,AR,C,active
480,US,General Purpose Code | Overlay 480/602/623,AZ,M,active
481,001,General Purpose Code,,,reserved
482,001,General Purpose Code,,,available
483,US,General Purpose Code | Overlay 334/483,AL,C,active
484,US,General Purpose Code | Overlay 484/610/835,PA,E,active
485,001,General Purpose Code,,,available
486,001,General Purpose Code,,,available
487,CA,General Purpose Code,,,reserved
488,001,Easily Recognizable Code,,,available
489,001,General Purpose Code,,,available
490,001,General Purpose Code,,,reserved
491,001,General Purpose Code,,,reserved
492,001,General Purpose Code,,,reserved
493,001,General Purpose Code,,,reserved
494,001,General Purpose Code,,,reserved
495,001,General Purpose Code,,,reserved
496,001,General Purpose Code,,,reserved
497,001,General Purpose Code,,,reserved
498,001,General Purpose Code,,,reserved
499,001,Easily Recognizable Code,,,reserved
500,US,Easily Recognizable Code | Overlay 500/533/544/566/577/588/521/522/523/524/525/526/527/528/529/532/538/542,NANP AREA,E,active
501,US,General Purpose Code,AR,C,active
502,US,General Purpose Code | Overlay 502/761,KY,E,active
503,US,General Purpose Code | Overlay 503/971,OR,P,active
504,US,General Purpose Code,LA,C,active
505,US,General Purpose Code,NM,M,active
506,CA,General Purpose Code | Overlay 428/506,NEW BRUNSWICK,A,active
507,US,General Purpose Code | Overlay 507/924,MN,C,active
508,US,General Purpose Code | Overlay 508/774,MA,E,active
509,US,General Purpose Code,WA,P,active
510,US,General Purpose Code | Overlay 341/510,CA,P,active
511,001,Easily Recognizable Code,,,unavailable
512,US,General Purpose Code | Overlay 512/737,TX,C,active
513,US,General Purpose Code | Overlay 283/513,OH,E,active
514,CA,General Purpose Code | Overlay 263/438/514,QUEBEC,E,active
515,US,General Purpose Code,IA,C,active
516,US,General Purpose Code | Overlay 363/516,NY,E,active
517,US,General Purpose Code,MI,E,active
518,US,General Purpose Code | Overlay 518/838,NY,E,active
519,CA,General Purpose Code | Overlay 226/382/519/548,ONTARIO,E,active
520,US,General Purpose Code,AZ,M,active
521,US,General Purpose Code | Overlay 500/533/544/566/577/588/521/522/523/524/525/526/527/528/529/532/538/542,NANP AREA,E,active
522,US,Easily Recognizable Code | Overlay 500/533/544/566/577/588/521/522/523/524/525/526/527/528/529/532/538/542,NANP AREA,E,active
523,US,General Purpose Code | Overlay 500/533/544/566/577/588/521/522/523/524/525/526/527/528/529/532/538/542,NANP AREA,E,active
524,US,General Purpose Code | Overlay 500/533/544/566/577/588/521/522/523/524/525/526/527/528/529/532/538/542,NANP AREA,E,active
525,US,General Purpose Code | Overlay 500/533/544/566/577/588/521/522/523/524/525/526/527/528/529/532/538/542,NANP AREA,E,active
526,US,General Purpose Code | Overlay 500/533/544/566/577/588/521/522/523/524/525/526/527/528/529/532/538/542,NANP AREA,E,active
527,US,General Purpose Code | Overlay 500/533/544/566/577/588/521/522/523/524/525/526/527/528/529/532/538/542,NANP AREA,E,active
528,US,Easily Recognizable Code | Overlay 500/533/544/566/577/588/521/522/523/524/525/526/527/528/529/532/538/542,NANP AREA,E,active
529,US,General Purpose Code | Overlay 500/533/544/566/577/588/521/522/523/524/525/526/527/528/529/532/538/542,NANP AREA,E,active
530,US,General Purpose Code | Overlay 530/837,CA,P,active
531,US,General Purpose Code | Overlay 402/531,NE,C,active
532,US,General Purpose Code | Overlay 500/533/544/566/577/588/521/522/523/524/525/526/527/528/529/532/538/542,NANP AREA,E,active
533,US,Easily Recognizable Code | Overlay 500/533/544/566/577/588/521/522/523/524/525/526/527/528/529/532/538/542,NANP AREA,E,active
534,US,General Purpose Code | Overlay 534/715,WI,C,active
535,001,General Purpose Code,NANP AREA,,reserved
536,001,General Purpose Code,,,available
537,CA,General Purpose Code,,,reserved
538,US,General Purpose Code | Overlay 500/533/544/566/577/588/521/522/523/524/525/526/527/528/529/532/538/542,NANP AREA,E,active
539,US,General Purpose Code | Overlay 539/918,OK,C,active
540,US,General Purpose Code | Overlay 540/826,VA,E,active
541,US,General Purpose Code | Overlay 458/541,OR,MP,active
542,US,General Purpose Code | Overlay 500/533/544/566/577/588/521/522/523/524/525/526/527/528/529/532/538/542,NANP AREA,E,active
543,001,General Purpose Code,NANP AREA,,assigned
544,US,Easily Recognizable Code | Overlay 500/533/544/566/577/588/521/522/523/524/525/526/527/528/529/532/538/542,NANP AREA,E,active
545,001,General Purpose Code,NANP AREA,,reserved
